names,Top_course,location,public/private,rating/5,fee_structure,entrance_text,other_course
Amrita Sai Institute of Science and Technology,B.Tech Computer Science and Engineering,Vijayawada,Private,3.8,1.72,AP,11.0
ASB Coimbatore - Amrita School of Business,Ph.D Information Technology,Coimbatore,Private,4.2,3.7,JEE,6.0
Amrita School of Engineering,B.Tech Computer Science and Engineering,Kollam,Private,4.3,24.0,JEE,10.0
Amrita School of Engineering,B.Tech Electronics and Communication Engineering,Bangalore,Private,4.0,3.7,JEE,8.0
Amrita School of Engineering,B.Tech Computer Science and Engineering,Chennai,Private,5.0,3.7,JEE,6.0
Amrita School of Engineering,B.Tech Computer Science and Engineering,Coimbatore,Private,4.1,24.0,JEE,11.0
Amrita School of Nanosciences and Molecular Medicine,M.Tech Molecular Medicine,Ernakulam,Private,3.9539370078740155,3.95,JEE,6.0
Amrita Vishwa Vidyapeetham,B.Tech Computer Science and Engineering,Amaravati,Private,4.8,3.7,JEE,6.0
Amrita Vishwa Vidyapeetham,B.Tech Artificial Intelligence,Kollam,Private,4.2,3.7,JEE,6.0
Amrita Vishwa Vidyapeetham,B.Tech Computer Science and Engineering,Bangalore,Private,4.3,3.7,JEE,2.0
Amrita Vishwa Vidyapeetham,B.Tech Computer Science and Engineering,Coimbatore,Private,4.3,24.0,JEE,11.0
Amrita Vishwa Vidyapeetham,M.Tech Nanobiotechnology,Ernakulam,Private,5.0,3.89,JEE,6.0
AGC Amritsar - Amritsar Group of Colleges,M.Tech Electronics and Communication Engineering,Amritsar,Private,3.4,1.44,GATE,9.0
AIEMS Bangalore - Amruta Institute of Engineering and Management Sciences,BE Computer Science and Engineering,Abbanakuppe,Private,3.6,3.7,COMEDK,5.0
Amrut Institute,Diploma in Electrical Engineering,Junagadh,Private,3.9539370078740155,3.7,JEE,6.0
"Amrut Mody School of Management, Ahmedabad University",BS Mathematical and Computational Sciences MS Quantitative Finance,Ahmedabad,Private,4.5,23.0,JEE,6.0
Amrutvahini College of Engineering,BE Civil Engineering,Sangamner,Private,4.1,4.9,JEE,9.0
Amrutvahini Polytechnic,Diploma in Mechanical Engineering,Sangamner,Private,4.5,3.7,JEE,6.0
AMS College of Polytechnic,Diploma in Electrical Engineering,Barrackpore,Private,3.9539370078740155,3.7,JEE,6.0
ANA College of Engineering and Management Studies,B.Tech Computer Science and Engineering,Bareilly,Private,3.9539370078740155,2.2,JEE,6.0
Anand Agricultural University,B.Tech Dairy Science,Anand,Public,4.0,3.7,JEE,4.0
Ananda Marga Polytechnic,Diploma in Mechanical Engineering,Hanumanthapura,Private,3.9539370078740155,3.7,JEE,6.0
"[""Anand Charitable Sansta's Diploma in Engineering and Technology, ""]",Diploma in Civil Engineering,Ashti,Private,3.9539370078740155,3.7,JEE,6.0
Anand College of Architecture,B.Arch,Arsena,Private,4.5,3.92,JEE,6.0
Anand College of Engineering and Management,B.Tech Mechanical Engineering,Rawal,Private,5.0,3.7,JEE,3.0
AEC Agra - Anand Engineering College,B.Tech Computer Science and Engineering,Runkata,Private,4.1,4.8,CUET,7.0
Anand Institute of Higher Technology,BE Computer Science and Engineering,Kazhipathur,Private,3.6,3.7,JEE,9.0
Anand International College of Engineering,B.Tech Computer Science and Engineering,Jaipur,Private,4.5,3.58,JEE,7.0
Anand Niketan College of Science Arts and Commerce,M.Sc Electronics,Warora,Private,3.9539370078740155,3.7,JEE,6.0
Anand Polytechnic College,Diploma in Computer Science and Engineering,Agra,Private,3.9539370078740155,1.42,JEE,6.0
Anand School of Architecture,B.Arch,Chennai,Private,3.9539370078740155,3.7,JEE,6.0
Anantha Lakshmi Institute of Technology and Sciences,B.Tech Computer Science and Engineering,Anantapur,Private,4.2,3.7,JEE,7.0
Anant National University,B.Arch,Ahmedabad,Private,4.5,4.88,NATA,6.0
Anantrao Pawar College of Architecture,B.Arch,Pune,Private,5.0,3.7,JEE,6.0
Anasuya Devi Institution of Technology and Sciences,B.Tech Civil Engineering,Nalgonda,Private,3.9539370078740155,3.7,JEE,4.0
Anbanathapuram Vahaira Charities College,B.Sc Electronic Science Evening Section,Mayiladuthurai,Private,3.9539370078740155,3.7,JEE,6.0
Andhra Engineering College,B.Tech Computer Science and Engineering,Nellore,Private,3.9539370078740155,3.7,AP,6.0
Andhra Kesari University,B.Sc Electronics Technology,Ongole,Public,3.9539370078740155,3.7,JEE,6.0
ALC Vijayawada - Andhra Loyola College,B.Sc Artificial Intellegience Honours,Vijayawada,Private,4.3,3.7,JEE,6.0
ALIET Vijayawada - Andhra Loyola Institute of Engineering and Technology,B.Tech Computer Science and Engineering,Vijayawada,Private,4.7,3.7,JEE,8.0
Andhra Polytechnic College,Diploma in Computer Engineering,Kakinada,Public,5.0,3.7,AP,6.0
AUCEW Visakhapatnam - Andhra University College of Engineering for Women,B.Tech Civil Engineering,Visakhapatnam,Public,4.0,3.7,AP,6.0
Andhra University College of Engineering,B.Tech Chemical Engineering,Visakhapatnam,Public,4.6,3.7,AP,13.0
Andhra University College of Science and Technology,Ph.D Electronics,Visakhapatnam,Public,4.5,3.7,JEE,6.0
AITM Belgaum - Angadi Institute of Technology and Management,BE Computer Science and Engineering,Belgaum,Private,4.0,3.7,KCET,7.0
Angadi School of Architecture,B.Arch,Belgaum,Private,3.9539370078740155,3.7,JEE,6.0
Angel College of Engineering and Technology,BE Civil Engineering,Pollikali Palayam,Private,3.9539370078740155,3.7,JEE,6.0
Angel Polytechnic College,Diploma in Automobile Engineering,Virudhunagar,Private,3.9539370078740155,3.7,JEE,6.0
ANITS Visakhapatnam - Anil Neerukonda Institute of Technology and Sciences,B.Tech Computer Science and Engineering Artificial Intelligence and Machine Learning,Visakhapatnam,Private,4.1,2.4,AP,9.0
Anjalai Ammal Mahalingam Engineering College,BE Computer Science and Engineering,Kovilvenni,Private,3.6,2.56,JEE,9.0
Anjamma AGI Reddy Engineering College for Women,Electronics and CommunicationEngineering,Hyderabad,Private,3.9539370078740155,3.7,JEE,5.0
Anjana Institute of Technical Education,Diploma in Civil Engineering,Ajgara,Private,3.9539370078740155,3.7,JEECUP,6.0
Anjaneya Polytechnic College,Diploma in Civil Engineering,Bhandara,Private,3.9539370078740155,3.7,JEE,6.0
Anjaneya University,B.Tech Civil Engineering,Raipur,Private,3.9539370078740155,3.7,JEE,6.0
ACET Nagpur - Anjuman College of Engineering and Technology,BE Computer Science and Engineering,Nagpur,Private,3.0,3.46,JEE,6.0
Anjuman E-Islam Polytechnic,Diploma in Civil Engineering,Gadag,Private,4.0,3.7,JEE,6.0
"[""Anjuman I Islam's AR Kalsekar Polytechnic, ""]",Diploma in Computer Engineering,Navi Mumbai,Private,3.9539370078740155,3.7,JEE,6.0
"[""AIKTC Navi Mumbai - Anjuman-I-Islam's Kalsekar Technical Campus, ""]",B.Arch,Navi Mumbai,Private,3.3,3.7,JEE,7.0
AITM Bhatkal - Anjuman Institute of Technology and Management,BE Computer Science and Engineering,Bhatkal,Private,4.5,3.7,KCET,7.0
Anjuman Polytechnic,Diploma in Civil Engineering,Hubli,Private,3.9539370078740155,3.7,JEE,6.0
Anjuman Polytechnic,Diploma in Civil Engineering,Nagpur,Private,4.4,3.7,JEE,6.0
ACAS Kumbakonam - Annai College of Arts and Science,Diploma in Fire and Safety,Thanjavur,Private,3.9539370078740155,3.7,JEE,6.0
Annai College of Engineering and Technology,BE Civil Engineering,Kalambaram,Private,3.9539370078740155,3.7,JEE,6.0
Annai College of Polytechnic,Diploma in Mechanical Engineering,Kovilacheri,Private,3.9539370078740155,3.7,JEE,6.0
Annai Fathima College of Arts and Science,B.Sc Fire and Safety,Tirumangalam,Private,3.9539370078740155,3.7,JEE,6.0
Annai JKK Sampoorani Ammal Polytechnic College,Diploma in Electrical and Electronics Engineering,Erode,Private,3.9539370078740155,3.7,JEE,6.0
Annai Mathammal Sheela Engineering College,BE Computer Science and Engineering,Erumapatti,Private,3.9539370078740155,1.6,JEE,9.0
Annai Mira College of Engineering and Technology,BE Computer Science and Engineering,Vellore,Private,3.9539370078740155,3.7,JEE,7.0
Annai Teresa College of Engineering,BE Computer Science and Engineering,Tirunavalur,Private,3.9539370078740155,3.7,JEE,4.0
Annai Vailankanni College of Engineering,B.Tech Artificial Intelligence and Data Science,Pottalkulam,Private,3.9539370078740155,2.2,JEE,6.0
"[""Annai Veilankanni's College of Engineering, ""]",B.Tech Artificial Intelligence and Data Science,Chennai,Private,3.9539370078740155,3.7,JEE,5.0
"[""Annai Veilankanni's Group of Educational Institutions, ""]",BE Mechanical Engineering,Chennai,Private,3.9539370078740155,3.7,JEE,5.0
Annai Velankanni College,Advance Diploma in Fire and Safety Management,Killiyoor,Private,3.9539370078740155,3.7,JEE,6.0
Annai Velankanni Polytechnic College,Diploma in Electrical and Electronics Engineering,Salem,Private,3.9539370078740155,3.7,JEE,6.0
AITS Hyderabad - Annamacharya Institute of Technology and Science,Diploma in Computer Science and Engineering,Hyderabad,Private,4.5,3.7,JEE,7.0
Annamacharya Institute of Technology and Sciences,B.Tech Computer Science and Engineering,Kadapa,Private,4.5,3.7,AP,7.0
AITS Hyderabad - Annamacharya Institute of Technology and Sciences,B.Tech Computer Science and Engineering,Kadapa,Private,4.4,3.02,AP,9.0
Annamacharya Institute of Technology and Sciences,B.Tech Computer Science and Engineering,Tirupati,Private,4.4,3.7,AP,10.0
Annamalaiar College of Engineering,BE Computer Science and Engineering,Devikapuram,Private,3.9539370078740155,3.7,JEE,6.0
Annamalai Polytechnic College,Diploma in Electrical and Electronics Engineering,Kanadukathan,Private,3.9539370078740155,3.7,JEE,6.0
Annamalai University - Annamalai University,BE Chemical Engineering,Cuddalore,Public,4.1,3.7,JEE,28.0
ACE Salem - Annapoorana Engineering College,BE Automobile Engineering,Salem,Private,3.0,2.0,JEE,9.0
Annasaheb Dange College of Engineering and Technology,B.Tech Computer Science and Engineering,Ashta,Private,3.2,4.28,JEE,11.0
Anna University Regional Campus,BE Computer Science and Engineering,Coimbatore,Public,3.6,3.7,JEE,5.0
Anna University Regional Campus,BE Civil Engineering,Madurai,Public,4.2,1.29,JEE,5.0
Anna University Regional Campus,BE Computer Science and Engineering,Tirunelveli,Public,3.9539370078740155,3.7,JEE,6.0
"Anna University, Regional Campus",BE Computer Science and Engineering,Tirunelveli,Public,3.4,3.7,JEE,4.0
Anndavar Polytechnic College,Diploma in Electrical and Electronics Engineering,Erode,Private,3.9539370078740155,3.7,JEE,6.0
Annex College Center for Technical and Management Studies,Diploma in Electrical Engineering,Salt Lake City,Private,3.9539370078740155,3.7,JEE,6.0
AITRC Chhindwara - Annie Institute of Technology and Research Centre,BE Civil Engineering,Thuniya Bhand,Private,3.9539370078740155,3.7,JEE,5.0
Ansal Institute of Technology and Management,B.Arch,Lucknow,Private,1.5,4.85,JEE,5.0
Ansal School of Architecture,B.Arch,Lucknow,Private,3.9539370078740155,3.7,JEE,6.0
Ansal Technical Campus,B.Arch,Lucknow,Private,4.0,3.7,JEE,5.0
Anubose Institute of Technology,Diploma in Computer Science Engineering,Khammam,Private,4.6,3.7,JEE,8.0
ANUCET Guntur - ANU College of Engineering and Technology,B.Tech Civil Engineering,Guntur,Public,3.0,3.7,AP,7.0
A N College Patna - Anugrah Narayan College,M.Sc Electronics,Patna,Public,4.3,3.7,JEE,6.0
Anupama College of Engineering,B.Tech Electronics and Communication Engineering,Dharera,Private,3.0,3.7,JEE,4.0
Anupama College of Engineering,B.Tech Computer Science Engineering,Bhora Kalan,Private,3.9539370078740155,3.7,JEE,6.0
AEC Chikhli - Anuradha Engineering College,B.Tech Computer Science and Engineering,Chikhli,Private,3.3,2.88,JEE,5.0
Anuradha Polytechnic,Diploma in Civil Engineering,Chikhli,Private,3.9539370078740155,3.7,JEE,6.0
Anurag College of Engineering,Diploma in Mechanical Engineering,Ghatkesar,Private,4.3,3.7,JEE,4.0
Anurag Engineering College,B.Tech Computer Science and Engineering,Nalgonda,Private,4.8,3.6,TS,7.0
Anurag University - Anurag University,B.Tech Artificial Intelligence and Machine Learning,Hyderabad,Private,4.3,11.4,JEE,13.0
Anwarul Uloom College,BBA Artificial Intelligence,Hyderabad,Private,5.0,1.87,JEE,6.0
Anwarul-Uloom College of Engineering and Technology,B.Tech Electrical Engineering,Rangareddy,Private,3.9539370078740155,3.7,TS,3.0
Apeejay Institute of Engineering,B.Tech Electronics and Communication Engineering,Jalandhar,Private,3.9539370078740155,3.7,JEE,2.0
Apeejay Institute of Management and Engineering Technical Campus,B.Tech Computer Science and Engineering,Jalandhar,Private,4.7,3.86,JEE,3.0
"Apeejay Institute of Technology, School of Architecture and Planning",B.Arch,Greater Noida,Private,3.4,4.37,JEE,6.0
Apeejay Stya University,B.Tech CSE with Artificial Intelligence and Data Science,Gurgaon,Private,3.6,11.57,JEE,6.0
Apex Group of Institutions,B.Arch,Jaipur,Private,3.6,3.85,NATA,6.0
"Apex Group of Institutions, Sitapura",B.Tech Civil Engineering,Jaipur,Private,3.0,2.8,JEE,6.0
"Apex Institute of Engineering and Technology, Jaipur (AIET Jaipur) - Apex Institute of Engineering and Technology",B.Tech Electrical Engineering,Murlipura at Mishra Ka Barh,Private,2.2,2.8,JEE,5.0
Apex Institute of Management and Technology,M.Tech Computer Science and Engineering,Bahlolpur Viran,Private,3.9539370078740155,3.7,JEE,6.0
Apex Institute of Technology and Management,B.Tech Computer Science and Engineering,Pahala,Private,3.0,3.7,JEE,4.0
Apex Institute of Technology,BE Hons CSE Data Science In association with IBM,Gharuan,Private,3.4,11.84,Christ,10.0
Apex Institute of Technology,B.Tech Mechanical Engineering,Jafrabad,Private,1.0,3.7,JEE,3.0
Apex International Institute of Technology,B.Tech Civil Engineering,Kherajagpura,Private,3.9539370078740155,3.7,JEE,3.0
Apex Polytechnic Institute,Diploma in Civil Engineering,Jaipur,Private,3.9539370078740155,3.7,JEE,6.0
Apex Professional University,M.Tech Biotechnology,Pasighat,Private,3.9539370078740155,3.18,JEE,6.0
Apex University,B.Tech Electrical Engineering,Jaipur,Private,4.2,2.8,JEE,5.0
AP Government Institute of Leather Technology,Diploma in Leather Technology,Hyderabad,Public,3.9539370078740155,3.7,JEE,6.0
APJ Abdul Kalam School of Environmental Design,B.Arch,Ernakulam,Private,3.9539370078740155,4.0,NATA,6.0
Apollo Engineering College,BE Aeronautical Engineering,Poonamallee,Private,3.1,3.7,JEE,8.0
Apollo Institute of Engineering and Technology,Diploma in Computer Engineering,Ahmedabad,Private,4.0,1.0,JEE,4.0
Apollo Institute of Technology,B.Tech Computer Science and Engineering,Tiwaripur Salempur,Private,2.6,3.23,UPCET,7.0
Apollo Polytechnic College,Diploma in Electronics and Communication Engineering,Sethupet,Private,3.9539370078740155,3.7,JEE,6.0
Apollo Priyadarshanam Institute of Technology,BE Civil Engineering,Panruti,Private,3.9539370078740155,3.7,JEE,4.0
AIET Gulbarga - Appa Institute of Engineering and Technology,BE Energy Engineering,Kalaburagi,Private,3.9539370078740155,3.7,COMEDK,8.0
Appasaheb Birnale College of Architecture,B.Arch,Sangli,Private,3.9539370078740155,3.7,JEE,6.0
Applied College of Management and Engineering,B.Tech Mechanical Engineering,Aurangabad,Private,3.9539370078740155,2.6,JEE,4.0
APS College of Education and Technology,Diploma in Civil Engineering,Meerut,Private,3.9539370078740155,3.7,JEE,6.0
APS Bangalore - APS College of Engineering,B.Tech Computer Science and Engineering,Bangalore,Private,4.2,3.6,JEE,7.0
APSIT Thane - AP Shah Institute of Technology,BE Computer Engineering,Thane,Private,4.8,4.74,JEE,7.0
Apurva Polytechnic,Diploma in Civil Engineering,Selu,Private,3.9539370078740155,3.7,JEE,6.0
Aquinas College,B.Sc Electronics Self Finance,Kochi,Private,3.8,1.13,JEE,6.0
Arambagh Government Polytechnic,Diploma in Civil Engineering,Arambagh,Public,3.9539370078740155,3.7,JEE,6.0
Arasan Ganesan Polytechnic College,Diploma in Mechanical Engineering,A.Meenachipuram,Public,3.9539370078740155,3.7,JEE,6.0
Arasu Engineering College,BE Computer Science and Engineering,Kallappuliyur,Private,3.8,3.7,JEE,9.0
Arasu Polytechnic College,Diploma in Mechanical Engineering,Kallappuliyur,Private,3.9539370078740155,3.7,JEE,6.0
ACEM Faridabad - Aravali College of Engineering and Management,B.Tech Computer Science Engineering,Faridabad,Private,4.1,4.14,JEE,5.0
Aravali Institute of Technical Studies,Diploma in Civil Engineering,Eklingpura,Private,3.3,3.7,JEE,6.0
Aravindar Polytechnic College,Diploma in Automobile Engineering,Dindigul,Private,3.9539370078740155,3.7,JEE,6.0
Archana College of Engineering,B.Tech Mechanical Engineering,Alappuzha,Private,3.9539370078740155,3.3,JEE,5.0
Archana Institute of Technology,BE Civil Engineering,Nehru Puram,Private,5.0,3.7,JEE,7.0
AR College of Engineering and Technology,BE Automobile Engineering,Tirunelveli,Private,3.9539370078740155,3.7,JEE,7.0
AR Engineering College,BE Artificial Intelligence and Data Science,Villupuram,Private,3.9539370078740155,3.7,JEE,6.0
Arham Veerayatan Polytechnic Institute,Diploma in Electrical Engineering,Kutch,Private,3.9539370078740155,3.7,JEE,6.0
Aries Polytechnic College,Diploma in Automobile Engineering,Palakkad,Private,3.9539370078740155,3.7,JEE,6.0
Arifa Institute of Technology,B.Tech Artificial Intelligence and Data Science,Nagapattinam,Private,3.9539370078740155,3.7,JEE,5.0
Arifa Polytechnic College,Diploma in Electrical and Electronics Engineering,Nagapattinam,Private,3.9539370078740155,3.7,JEE,6.0
Arignar Anna Institute of Science and Technology,BE Electrical and Electronics Engineering,Kancheepuram,Private,3.0,3.7,JEE,6.0
Aringer Anna College of Engineering and Technology,BE Civil Engineering,Sriperumbudur,Private,3.9539370078740155,3.7,JEE,5.0
Ariyalur Engineering College,BE Computer Science and Engineering,Ariyalur,Private,3.5,3.7,JEE,5.0
ARJ College of Engineering and Technology,BE Computer Science and Engineering,Kannarappettai,Private,3.9539370078740155,3.7,JEE,8.0
ARJ Polytechnic College,Diploma in Mechanical Engineering,Thiruvarur,Private,3.9539370078740155,3.7,JEE,6.0
Arjun College of Technology and Sciences,Diploma in Computer Science and Engineering,Hyderabad,Private,3.3,3.7,JEE,5.0
Arjun College of Technology,BE Computer Science and Engineering,Coimbatore,Private,3.9539370078740155,3.7,JEE,8.0
ARKA Jain University,B.Tech Computer Science and Engineering,Jamshedpur,Private,4.3,5.3,JEE,6.0
Arkay College of Engineering and Technology,Diploma in Electrical and Electronics Engineering,Nizamabad,Private,3.9539370078740155,3.7,JEE,5.0
ARM College of Engineering and Technology,BE Mechanical Engineering,Chennai,Private,3.9539370078740155,3.7,JEE,8.0
AIT Pune - Army Institute of Technology,BE Information Technology,Pune,Private,4.2,8.62,JEE,4.0
Arni School of Technology,B.Tech Civil Engineering,Kangra,Private,3.9539370078740155,4.2,JEE,5.0
Arni University,B.Tech Artificial Intelligence Robotics,Kangra,Private,3.9539370078740155,4.21,JEE,5.0
ARPIT Institute of Engineering and Technology,Diploma in Chemical Engineering,Hadala,Private,3.9539370078740155,3.7,JEE,6.0
Arrdekta Institute of Technology,BE Civil Engineering,Khedbrahma,Private,5.0,3.7,GUJCET,7.0
ARS College of Engineering,BE Civil Engineering,Maraimalai Nagar,Private,3.9539370078740155,3.7,JEE,4.0
